127.0.0.1, 2013-08-01 09:13:51, GET, /grid/default/grid, HTTP/1.1, 200, 0.024554
127.0.0.1, 2013-08-01 09:13:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000461
127.0.0.1, 2013-08-01 09:15:35, GET, /grid/appadmin/select/db, HTTP/1.1, 200, 0.055821
127.0.0.1, 2013-08-01 10:48:25, GET, /grid/default/grid, HTTP/1.1, 200, 0.039838
127.0.0.1, 2013-08-01 10:48:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000457
127.0.0.1, 2013-08-01 10:48:28, GET, /grid/default/grid, HTTP/1.1, 200, 0.019070
127.0.0.1, 2013-08-01 10:48:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2013-08-01 10:48:30, GET, /grid/default/grid, HTTP/1.1, 200, 0.021365
127.0.0.1, 2013-08-01 10:48:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2013-08-01 11:07:33, GET, /grid/default/grid, HTTP/1.1, 200, 0.028625
127.0.0.1, 2013-08-01 11:07:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000438
127.0.0.1, 2013-08-01 11:07:49, GET, /grid/default/grid, HTTP/1.1, 200, 0.031475
127.0.0.1, 2013-08-01 11:07:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000439
127.0.0.1, 2013-08-01 11:08:00, GET, /grid/default/grid/update, HTTP/1.1, 200, 0.028488
127.0.0.1, 2013-08-01 11:08:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000424
127.0.0.1, 2013-08-01 11:08:10, GET, /grid/default/grid, HTTP/1.1, 200, 0.025651
127.0.0.1, 2013-08-01 11:08:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2013-08-01 11:08:22, GET, /grid/default/update, HTTP/1.1, 200, 0.028805
127.0.0.1, 2013-08-01 11:08:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000899
127.0.0.1, 2013-08-01 11:08:27, GET, /grid/default/grid, HTTP/1.1, 200, 0.026578
127.0.0.1, 2013-08-01 11:08:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2013-08-01 11:09:07, GET, /grid/default/update, HTTP/1.1, 500, 0.071657
127.0.0.1, 2013-08-01 11:09:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2013-08-01 11:09:09, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.11-09-07.1d1a0bc0-33e9-438e-beea-dfa6af1f0a5b, HTTP/1.1, 303, 0.014469
127.0.0.1, 2013-08-01 11:09:09, GET, /admin/default/index, HTTP/1.1, 200, 0.057715
127.0.0.1, 2013-08-01 11:09:10, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.002289
127.0.0.1, 2013-08-01 11:09:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000573
127.0.0.1, 2013-08-01 11:09:11, POST, /admin/default/index, HTTP/1.1, 303, 0.080270
127.0.0.1, 2013-08-01 11:09:12, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.11-09-07.1d1a0bc0-33e9-438e-beea-dfa6af1f0a5b, HTTP/1.1, 200, 0.076606
127.0.0.1, 2013-08-01 11:09:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000441
127.0.0.1, 2013-08-01 11:12:49, GET, /grid/default/grid, HTTP/1.1, 200, 0.028308
127.0.0.1, 2013-08-01 11:12:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000448
127.0.0.1, 2013-08-01 11:12:51, GET, /grid/default/update, HTTP/1.1, 500, 0.078716
127.0.0.1, 2013-08-01 11:12:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000439
127.0.0.1, 2013-08-01 11:12:53, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.11-12-51.cd50d534-5731-4f5d-b69a-bb850b2d7961, HTTP/1.1, 200, 0.096179
127.0.0.1, 2013-08-01 11:12:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
127.0.0.1, 2013-08-01 11:16:24, GET, /grid/default/update, HTTP/1.1, 500, 0.067149
127.0.0.1, 2013-08-01 11:16:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000445
127.0.0.1, 2013-08-01 11:16:26, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.11-16-24.08b7c061-d46d-4407-b9ad-04dca49b78a1, HTTP/1.1, 200, 0.069212
127.0.0.1, 2013-08-01 11:16:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000419
127.0.0.1, 2013-08-01 11:17:03, GET, /grid/default/update, HTTP/1.1, 500, 0.066348
127.0.0.1, 2013-08-01 11:17:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2013-08-01 11:17:05, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.11-17-03.bc421a4d-e7a2-4baa-be9e-cd925f349bc4, HTTP/1.1, 200, 0.076217
127.0.0.1, 2013-08-01 11:17:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000481
127.0.0.1, 2013-08-01 11:17:18, GET, /grid/default/update, HTTP/1.1, 200, 0.029666
127.0.0.1, 2013-08-01 11:17:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2013-08-01 11:17:22, GET, /grid/default/grid, HTTP/1.1, 200, 0.022742
127.0.0.1, 2013-08-01 11:17:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2013-08-01 11:17:24, GET, /grid/default/grid, HTTP/1.1, 200, 0.018285
127.0.0.1, 2013-08-01 11:17:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2013-08-01 11:18:54, GET, /grid/default/generateData, HTTP/1.1, 200, 0.152702
127.0.0.1, 2013-08-01 11:18:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
127.0.0.1, 2013-08-01 11:19:00, GET, /grid/default/update, HTTP/1.1, 200, 0.021983
127.0.0.1, 2013-08-01 11:19:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2013-08-01 11:19:03, GET, /grid/default/grid, HTTP/1.1, 200, 0.020608
127.0.0.1, 2013-08-01 11:19:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000437
127.0.0.1, 2013-08-01 11:19:05, GET, /grid/default/grid, HTTP/1.1, 200, 0.019363
127.0.0.1, 2013-08-01 11:19:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2013-08-01 11:19:07, GET, /grid/default/grid, HTTP/1.1, 200, 0.020619
127.0.0.1, 2013-08-01 11:19:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2013-08-01 11:19:15, GET, /grid/default/update, HTTP/1.1, 200, 0.028580
127.0.0.1, 2013-08-01 11:19:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2013-08-01 11:19:18, GET, /grid/default/grid, HTTP/1.1, 200, 0.027817
127.0.0.1, 2013-08-01 11:19:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2013-08-01 11:22:57, GET, /grid/default/update, HTTP/1.1, 500, 0.065499
127.0.0.1, 2013-08-01 11:22:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000444
127.0.0.1, 2013-08-01 11:22:59, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.11-22-57.62b2e854-d797-4ce8-85b7-a0c83f12b20e, HTTP/1.1, 200, 0.074229
127.0.0.1, 2013-08-01 11:23:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
127.0.0.1, 2013-08-01 11:23:25, GET, /grid/default/grid, HTTP/1.1, 200, 0.021759
127.0.0.1, 2013-08-01 11:23:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000438
127.0.0.1, 2013-08-01 11:25:54, GET, /grid/default/grid, HTTP/1.1, 500, 0.072268
127.0.0.1, 2013-08-01 11:25:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2013-08-01 11:26:19, GET, /grid/default/grid, HTTP/1.1, 200, 0.020742
127.0.0.1, 2013-08-01 11:26:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000413
127.0.0.1, 2013-08-01 11:26:26, GET, /grid/default/update, HTTP/1.1, 200, 0.016076
127.0.0.1, 2013-08-01 11:26:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000442
127.0.0.1, 2013-08-01 11:26:41, GET, /grid/default/grid, HTTP/1.1, 200, 0.025124
127.0.0.1, 2013-08-01 11:26:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2013-08-01 11:27:03, GET, /grid/default/grid, HTTP/1.1, 200, 0.027794
127.0.0.1, 2013-08-01 11:27:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
127.0.0.1, 2013-08-01 11:27:05, GET, /grid/default/update, HTTP/1.1, 500, 0.049133
127.0.0.1, 2013-08-01 11:27:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000271
127.0.0.1, 2013-08-01 11:27:07, GET, /admin/default/ticket/grid/127.0.0.1.2013-08-01.11-27-05.c29b9e4d-3925-4fdc-b3d7-67cf3ac0488b, HTTP/1.1, 200, 0.089050
127.0.0.1, 2013-08-01 11:27:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2013-08-01 11:27:23, GET, /grid/default/update, HTTP/1.1, 200, 0.022493
127.0.0.1, 2013-08-01 11:27:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000428
127.0.0.1, 2013-08-01 11:27:27, GET, /grid/default/grid, HTTP/1.1, 200, 0.031035
127.0.0.1, 2013-08-01 11:27:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000426
127.0.0.1, 2013-08-01 11:28:14, GET, /grid/default/update, HTTP/1.1, 200, 0.031457
127.0.0.1, 2013-08-01 11:28:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
127.0.0.1, 2013-08-01 11:28:16, GET, /grid/default/grid, HTTP/1.1, 200, 0.019607
127.0.0.1, 2013-08-01 11:28:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000450
127.0.0.1, 2013-08-01 11:28:19, GET, /grid/default/grid, HTTP/1.1, 200, 0.021069
127.0.0.1, 2013-08-01 11:28:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2013-08-01 11:31:57, GET, /grid/default/update, HTTP/1.1, 200, 0.025634
127.0.0.1, 2013-08-01 11:31:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000408
127.0.0.1, 2013-08-01 11:32:00, GET, /grid/default/grid, HTTP/1.1, 200, 0.021217
127.0.0.1, 2013-08-01 11:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000429
127.0.0.1, 2013-08-01 11:33:07, GET, /grid/default/update, HTTP/1.1, 200, 0.027089
127.0.0.1, 2013-08-01 11:33:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000388
127.0.0.1, 2013-08-01 11:33:09, GET, /grid/default/grid, HTTP/1.1, 200, 0.019729
